	craspi01	craspi02	craspi03	craspi04	craspi05	craspi06	craspi07	craspi08	craspi09	craspi10
2017-01-06 12:30:11	42.1875	41.1875	40.59375	42.1875	41.1875	41.6875	42.1875	42.1875	42.8125	41.1875
2017-01-06 12:31:15	44.40625	43.3125	42.1875	44.40625	42.1875	42.1875	42.1875	43.90625	43.3125	41.6875
2017-01-06 12:32:19	47.09375	45.5	44.40625	45.5	44.40625	44.40625	46.0	44.90625	46.5	45.5
2017-01-06 12:33:22	48.1875	45.5	44.90625	47.09375	45.5	45.5	46.5	46.5	47.59375	46.5
2017-01-06 12:34:26	48.6875	47.09375	46.0	47.59375	46.5	47.09375	47.09375	47.09375	48.6875	46.5
2017-01-06 12:35:30	48.6875	47.09375	45.5	47.59375	46.5	47.09375	47.59375	47.59375	48.1875	47.09375
2017-01-06 12:36:33	48.6875	47.59375	46.0	47.59375	47.09375	47.59375	48.1875	47.59375	48.6875	46.5
2017-01-06 12:37:37	49.1875	48.1875	46.5	48.1875	47.59375	48.6875	47.59375	48.1875	48.6875	47.09375
2017-01-06 12:38:40	49.1875	47.59375	46.0	48.1875	47.09375	48.6875	48.1875	47.59375	49.8125	48.1875
2017-01-06 12:39:43	49.8125	48.1875	47.09375	48.6875	47.59375	48.6875	48.6875	48.6875	49.1875	46.5
2017-01-06 12:40:47	45.5	45.5	44.40625	46.0	44.40625	47.09375	47.59375	46.0	49.1875	47.59375
2017-01-06 12:41:50	44.40625	43.90625	43.3125	44.40625	43.90625	48.6875	46.5	44.40625	46.5	45.5
2017-01-06 12:42:53	48.1875	46.5	45.5	46.5	46.0	47.59375	48.1875	46.5	48.1875	46.5
2017-01-06 12:43:56	48.6875	47.59375	46.5	48.6875	47.09375	47.59375	48.6875	47.59375	48.6875	47.09375
2017-01-06 12:45:00	48.6875	47.59375	46.5	48.6875	47.59375	48.6875	48.1875	48.6875	48.6875	47.09375
2017-01-06 12:46:03	49.1875	48.6875	46.5	48.6875	48.1875	48.6875	48.6875	48.6875	49.1875	47.59375
2017-01-06 12:47:06	49.8125	47.59375	47.59375	48.6875	47.59375	48.6875	49.1875	48.6875	49.1875	47.09375
2017-01-06 12:48:09	49.8125	48.1875	47.59375	49.1875	47.59375	48.6875	49.1875	48.6875	49.8125	47.09375
2017-01-06 12:49:12	50.3125	48.6875	47.59375	49.1875	48.1875	49.1875	49.1875	49.1875	49.8125	48.1875
2017-01-06 12:50:16	50.3125	48.6875	47.59375	49.8125	48.6875	48.6875	49.1875	48.6875	50.8125	48.1875
2017-01-06 12:51:19	50.3125	48.6875	48.1875	49.8125	48.6875	49.1875	49.1875	49.1875	50.3125	47.59375
2017-01-06 12:52:22	50.8125	48.6875	47.59375	49.8125	48.6875	49.1875	49.8125	48.6875	49.8125	48.1875
2017-01-06 12:53:25	50.8125	49.1875	47.59375	49.8125	48.6875	49.1875	49.8125	49.1875	50.3125	48.6875
2017-01-06 12:54:28	50.8125	48.6875	48.1875	50.3125	48.6875	49.8125	49.1875	49.8125	50.3125	48.6875
2017-01-06 12:55:32	50.3125	49.1875	48.1875	49.8125	48.6875	48.6875	49.1875	49.8125	50.8125	48.1875
2017-01-06 12:56:35	50.8125	49.1875	48.6875	49.8125	48.6875	49.1875	49.1875	49.8125	50.3125	48.1875
2017-01-06 12:57:38	50.8125	49.8125	48.1875	49.8125	48.6875	48.6875	49.1875	49.1875	50.8125	48.1875
2017-01-06 12:58:41	50.8125	48.6875	48.1875	49.8125	48.6875	49.8125	50.3125	49.8125	50.8125	47.59375
2017-01-06 12:59:44	50.8125	49.8125	48.1875	49.8125	49.1875	49.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:00:47	50.8125	48.6875	48.1875	50.8125	49.1875	49.8125	48.6875	49.8125	50.3125	48.6875
2017-01-06 13:01:51	50.3125	49.8125	48.6875	50.3125	49.1875	49.1875	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:02:54	50.3125	49.8125	48.1875	50.8125	49.1875	49.8125	49.8125	49.1875	50.3125	48.6875
2017-01-06 13:03:57	50.8125	49.8125	48.1875	50.8125	48.6875	50.3125	50.3125	49.8125	50.3125	48.6875
2017-01-06 13:05:00	50.8125	49.8125	48.6875	50.3125	48.6875	49.1875	50.3125	49.8125	50.8125	49.1875
2017-01-06 13:06:03	50.8125	49.8125	48.6875	50.3125	48.6875	49.8125	49.1875	49.8125	50.8125	48.6875
2017-01-06 13:07:07	50.8125	49.1875	48.6875	50.8125	49.1875	49.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:08:10	50.8125	49.1875	48.6875	49.8125	49.1875	49.8125	49.8125	49.8125	50.3125	48.6875
2017-01-06 13:09:13	50.8125	49.8125	48.6875	49.8125	49.1875	49.8125	49.8125	49.8125	49.8125	48.6875
2017-01-06 13:10:16	50.8125	49.1875	48.1875	49.8125	49.1875	49.1875	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:11:19	50.8125	49.1875	48.1875	49.8125	49.1875	49.8125	49.8125	49.8125	50.8125	48.6875
2017-01-06 13:12:22	50.8125	49.8125	48.1875	50.8125	48.6875	49.8125	49.8125	49.8125	50.3125	48.6875
