	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
hsa	Eukaryotes	Animals	Vertebrates	Homo sapiens (human)		20286	1305	19182
ptr	Eukaryotes	Animals	Vertebrates	Pan troglodytes (chimpanzee)		22999	1303	10066
pps	Eukaryotes	Animals	Vertebrates	Pan paniscus (bonobo)		20581	1303	4217
ggo	Eukaryotes	Animals	Vertebrates	Gorilla gorilla gorilla (western lowland gorilla)		21354	1298	4740
pon	Eukaryotes	Animals	Vertebrates	Pongo abelii (Sumatran orangutan)		23555	1304	4087
nle	Eukaryotes	Animals	Vertebrates	Nomascus leucogenys (northern white-cheeked gibbon)		20384	1295	3968
mcc	Eukaryotes	Animals	Vertebrates	Macaca mulatta (rhesus monkey)		21360	1306	7048
mcf	Eukaryotes	Animals	Vertebrates	Macaca fascicularis (crab-eating macaque)		20606	1300	7608
csab	Eukaryotes	Animals	Vertebrates	Chlorocebus sabaeus (green monkey)		20994	1304	8662
rro	Eukaryotes	Animals	Vertebrates	Rhinopithecus roxellana (golden snub-nosed monkey)		21188	1302	3336
rbb	Eukaryotes	Animals	Vertebrates	Rhinopithecus bieti (black snub-nosed monkey)		21660		5993
cjc	Eukaryotes	Animals	Vertebrates	Callithrix jacchus (white-tufted-ear marmoset)		20744	1293	8891
sbq	Eukaryotes	Animals	Vertebrates	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)		19742	1293	2703
mmu	Eukaryotes	Animals	Vertebrates	Mus musculus (mouse)		22068	1297	14081
rno	Eukaryotes	Animals	Vertebrates	Rattus norvegicus (rat)		23503	1292	8974
cge	Eukaryotes	Animals	Vertebrates	Cricetulus griseus (Chinese hamster)		21492	1288	3715
ngi	Eukaryotes	Animals	Vertebrates	Nannospalax galili (Upper Galilee mountains blind mole rat)		20703	1291	1052
hgl	Eukaryotes	Animals	Vertebrates	Heterocephalus glaber (naked mole rat)		19811	1289	1910
ccan	Eukaryotes	Animals	Vertebrates	Castor canadensis (American beaver)		21712		1182
ocu	Eukaryotes	Animals	Vertebrates	Oryctolagus cuniculus (rabbit)		20374	1257	3131
tup	Eukaryotes	Animals	Vertebrates	Tupaia chinensis (Chinese tree shrew)		21235	1296	3405
cfa	Eukaryotes	Animals	Vertebrates	Canis familiaris (dog)		19868	1283	4957
aml	Eukaryotes	Animals	Vertebrates	Ailuropoda melanoleuca (giant panda)		19514	1282	2141
umr	Eukaryotes	Animals	Vertebrates	Ursus maritimus (polar bear)		19392	1269	4015
fca	Eukaryotes	Animals	Vertebrates	Felis catus (domestic cat)		20114	1287	11364
ptg	Eukaryotes	Animals	Vertebrates	Panthera tigris altaica (Amur tiger)		18496	1271	2936
aju	Eukaryotes	Animals	Vertebrates	Acinonyx jubatus (cheetah)		18606	1271	3012
bta	Eukaryotes	Animals	Vertebrates	Bos taurus (cow)		21500	1293	5710
bom	Eukaryotes	Animals	Vertebrates	Bos mutus (wild yak)		20519	1293	825
biu	Eukaryotes	Animals	Vertebrates	Bos indicus (zebu cattle)		19786		2364
phd	Eukaryotes	Animals	Vertebrates	Pantholops hodgsonii (chiru)		25493	1304	1012
chx	Eukaryotes	Animals	Vertebrates	Capra hircus (goat)		20620	1287	2719
oas	Eukaryotes	Animals	Vertebrates	Ovis aries (sheep)		20582	1282	3968
ssc	Eukaryotes	Animals	Vertebrates	Sus scrofa (pig)		24218	1258	12275
cfr	Eukaryotes	Animals	Vertebrates	Camelus ferus (Wild Bactrian camel)		19438	1282	1917
cdk	Eukaryotes	Animals	Vertebrates	Camelus dromedarius (Arabian camel)		19305		1476
bacu	Eukaryotes	Animals	Vertebrates	Balaenoptera acutorostrata scammoni (minke whale)		18400	1280	1562
lve	Eukaryotes	Animals	Vertebrates	Lipotes vexillifer (Yangtze River dolphin)		18890	1284	183
ecb	Eukaryotes	Animals	Vertebrates	Equus caballus (horse)		20311	1291	3821
epz	Eukaryotes	Animals	Vertebrates	Equus przewalskii (Przewalski's horse)		21364		4309
eai	Eukaryotes	Animals	Vertebrates	Equus asinus (ass)		20471		4113
myb	Eukaryotes	Animals	Vertebrates	Myotis brandtii (Brandt's bat)		20001	1270	4232
myd	Eukaryotes	Animals	Vertebrates	Myotis davidii		18864	1273	3264
hai	Eukaryotes	Animals	Vertebrates	Hipposideros armiger (great roundleaf bat)		18962	1271	2669
pale	Eukaryotes	Animals	Vertebrates	Pteropus alecto (black flying fox)		18202	1272	938
lav	Eukaryotes	Animals	Vertebrates	Loxodonta africana (African savanna elephant)		20785	1285	389
mdo	Eukaryotes	Animals	Vertebrates	Monodelphis domestica (opossum)		20907	1265	12234
shr	Eukaryotes	Animals	Vertebrates	Sarcophilus harrisii (Tasmanian devil)		19476	1262	833
oaa	Eukaryotes	Animals	Vertebrates	Ornithorhynchus anatinus (platypus)		19839	1182	2578
gga	Eukaryotes	Animals	Vertebrates	Gallus gallus (chicken)		19113	1205	6584
mgp	Eukaryotes	Animals	Vertebrates	Meleagris gallopavo (turkey)		18480	1180	8231
cjo	Eukaryotes	Animals	Vertebrates	Coturnix japonica (Japanese quail)		16037	1217	4099
apla	Eukaryotes	Animals	Vertebrates	Anas platyrhynchos (mallard)		15069	1142	6385
tgu	Eukaryotes	Animals	Vertebrates	Taeniopygia guttata (zebra finch)		16496	1141	1184
gfr	Eukaryotes	Animals	Vertebrates	Geospiza fortis (medium ground-finch)		14183	1157	161
fab	Eukaryotes	Animals	Vertebrates	Ficedula albicollis (collared flycatcher)		15400	1188	1204
phi	Eukaryotes	Animals	Vertebrates	Pseudopodoces humilis (Tibetan ground-tit)		15815	1226	484
ccw	Eukaryotes	Animals	Vertebrates	Corvus cornix (hooded crow)		13635	1137	3415
fpg	Eukaryotes	Animals	Vertebrates	Falco peregrinus (peregrine falcon)		14860	1192	468
fch	Eukaryotes	Animals	Vertebrates	Falco cherrug (Saker falcon)		14708	1192	491
clv	Eukaryotes	Animals	Vertebrates	Columba livia (rock pigeon)		15035	1187	487
aam	Eukaryotes	Animals	Vertebrates	Apteryx australis mantelli (brown kiwi)		16251	1171	2136
asn	Eukaryotes	Animals	Vertebrates	Alligator sinensis (Chinese alligator)		18596	1247	2637
amj	Eukaryotes	Animals	Vertebrates	Alligator mississippiensis (American alligator)		18955	1252	5340
pss	Eukaryotes	Animals	Vertebrates	Pelodiscus sinensis (Chinese soft-shelled turtle)		19283	1213	1741
cmy	Eukaryotes	Animals	Vertebrates	Chelonia mydas (green sea turtle)		17760	1232	200
cpic	Eukaryotes	Animals	Vertebrates	Chrysemys picta (western painted turtle)		21188	1262	2108
acs	Eukaryotes	Animals	Vertebrates	Anolis carolinensis (green anole)		19365	1218	2266
pbi	Eukaryotes	Animals	Vertebrates	Python bivittatus (Burmese python)		18761	1231	898
gja	Eukaryotes	Animals	Vertebrates	Gekko japonicus		19476	1252	598
xla	Eukaryotes	Animals	Vertebrates	Xenopus laevis (African clawed frog)		31644	1262	3018
xtr	Eukaryotes	Animals	Vertebrates	Xenopus tropicalis (western clawed frog)		21378	1252	2600
dre	Eukaryotes	Animals	Vertebrates	Danio rerio (zebrafish)		26477	1224	6570
ipu	Eukaryotes	Animals	Vertebrates	Ictalurus punctatus (channel catfish)		23074	1229	3574
tru	Eukaryotes	Animals	Vertebrates	Takifugu rubripes (torafugu)		21344	1223	1535
tng	Eukaryotes	Animals	Vertebrates	Tetraodon nigroviridis (spotted green pufferfish)		27931	1194	24
lco	Eukaryotes	Animals	Vertebrates	Larimichthys crocea (large yellow croaker)		24793	1226	1228
mze	Eukaryotes	Animals	Vertebrates	Maylandia zebra (zebra mbuna)		24427	1237	1531
ola	Eukaryotes	Animals	Vertebrates	Oryzias latipes (Japanese medaka)		22770	1223	4751
xma	Eukaryotes	Animals	Vertebrates	Xiphophorus maculatus (southern platyfish)		21617	1230	216
sasa	Eukaryotes	Animals	Vertebrates	Salmo salar (Atlantic salmon)		48679	1248	6535
lcm	Eukaryotes	Animals	Vertebrates	Latimeria chalumnae (coelacanth)		20945	1239	5232
cmk	Eukaryotes	Animals	Vertebrates	Callorhinchus milii (elephant shark)		17860	1157	1816
bfo	Eukaryotes	Animals	Lancelets	Branchiostoma floridae (Florida lancelet)		28634	1126	24
